"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","1,615","1,580","1,700","1,580","57.61M","2.87%"
"12/27/2024","1,570","1,595","1,620","1,570","22.10M","-0.63%"
"12/24/2024","1,580","1,630","1,650","1,580","25.11M","-3.07%"
"12/23/2024","1,630","1,610","1,675","1,585","34.37M","2.19%"
"12/20/2024","1,595","1,600","1,640","1,565","114.62M","-1.24%"
"12/19/2024","1,615","1,700","1,700","1,550","83.03M","-8.24%"
"12/18/2024","1,760","1,845","1,870","1,760","22.41M","-4.35%"
"12/17/2024","1,840","1,900","1,920","1,825","25.58M","-3.16%"
"12/16/2024","1,900","1,925","1,955","1,900","15.71M","-1.30%"
"12/13/2024","1,925","1,945","1,980","1,925","32.13M","-1.03%"
"12/12/2024","1,945","1,985","1,985","1,930","20.36M","-2.02%"
"12/11/2024","1,985","2,000","2,030","1,970","22.75M","-0.25%"
"12/10/2024","1,990","1,930","2,030","1,930","47.74M","3.65%"
"12/09/2024","1,920","1,910","1,960","1,910","22.81M","0.52%"
"12/06/2024","1,910","1,930","1,935","1,900","14.85M","-0.52%"
"12/05/2024","1,920","1,945","1,945","1,905","14.57M","-0.52%"
"12/04/2024","1,930","1,865","1,940","1,850","37.88M","3.76%"
"12/03/2024","1,860","1,850","1,875","1,840","22.20M","1.09%"
"12/02/2024","1,840","1,840","1,915","1,815","38.48M","0.00%"
"11/29/2024","1,840","1,930","1,935","1,830","67.88M","-4.66%"
"11/28/2024","1,930","2,020","2,020","1,830","132.98M","-3.50%"
"11/26/2024","2,000","2,030","2,030","1,995","28.69M","-1.48%"
"11/25/2024","2,030","2,060","2,110","2,030","62.63M","-0.98%"
"11/22/2024","2,050","2,070","2,100","2,030","32.15M","-2.38%"
"11/21/2024","2,100","2,160","2,160","2,090","16.54M","-2.33%"
"11/20/2024","2,150","2,100","2,160","2,070","32.91M","3.37%"
"11/19/2024","2,080","2,010","2,090","2,010","24.38M","3.48%"
"11/18/2024","2,010","2,090","2,110","1,995","42.56M","-4.29%"
"11/15/2024","2,100","2,190","2,200","2,100","21.70M","-3.67%"
"11/14/2024","2,180","2,240","2,260","2,180","25.96M","-2.68%"
"11/13/2024","2,240","2,200","2,310","2,200","36.60M","2.75%"
"11/12/2024","2,180","2,210","2,240","2,170","20.88M","-0.91%"
"11/11/2024","2,200","2,250","2,260","2,170","15.92M","-1.79%"
"11/08/2024","2,240","2,300","2,320","2,240","14.23M","-1.32%"
"11/07/2024","2,270","2,250","2,300","2,220","24.96M","0.00%"
"11/06/2024","2,270","2,300","2,360","2,270","24.75M","-1.30%"
"11/05/2024","2,300","2,320","2,350","2,290","16.81M","-0.86%"
"11/04/2024","2,320","2,350","2,360","2,290","17.54M","-1.28%"
"11/01/2024","2,350","2,410","2,410","2,340","16.42M","-2.89%"
"10/31/2024","2,420","2,390","2,420","2,360","19.14M","1.26%"
"10/30/2024","2,390","2,360","2,430","2,340","19.54M","1.27%"
"10/29/2024","2,360","2,440","2,440","2,350","23.87M","-2.48%"
"10/28/2024","2,420","2,450","2,460","2,370","29.70M","-1.22%"
"10/25/2024","2,450","2,540","2,550","2,430","27.08M","-3.16%"
"10/24/2024","2,530","2,540","2,560","2,500","22.08M","0.00%"
"10/23/2024","2,530","2,580","2,590","2,530","33.45M","-1.56%"
"10/22/2024","2,570","2,570","2,600","2,540","35.38M","0.39%"
"10/21/2024","2,560","2,560","2,620","2,530","75.47M","1.59%"
"10/18/2024","2,520","2,560","2,610","2,510","57.49M","-1.18%"
"10/17/2024","2,550","2,550","2,560","2,510","34.90M","0.79%"
"10/16/2024","2,530","2,510","2,540","2,510","16.91M","0.80%"
"10/15/2024","2,510","2,540","2,570","2,480","26.96M","-0.79%"
"10/14/2024","2,530","2,550","2,580","2,520","23.44M","-0.39%"
"10/11/2024","2,540","2,580","2,610","2,520","17.63M","-0.78%"
"10/10/2024","2,560","2,550","2,600","2,520","19.55M","0.39%"
"10/09/2024","2,550","2,560","2,560","2,480","50.00M","-1.16%"
"10/08/2024","2,580","2,710","2,730","2,560","62.96M","-4.80%"
"10/07/2024","2,710","2,680","2,710","2,670","29.22M","1.12%"
"10/04/2024","2,680","2,690","2,720","2,640","28.30M","-0.37%"
"10/03/2024","2,690","2,750","2,780","2,690","32.87M","-1.47%"
"10/02/2024","2,730","2,690","2,770","2,660","62.79M","1.49%"
"10/01/2024","2,690","2,630","2,700","2,590","83.19M","-1.10%"
"09/30/2024","2,720","2,700","2,750","2,660","56.09M","0.74%"
"09/27/2024","2,700","2,620","2,750","2,610","112.03M","4.25%"
"09/26/2024","2,590","2,450","2,600","2,410","118.88M","5.71%"
"09/25/2024","2,450","2,390","2,450","2,360","128.91M","4.70%"
"09/24/2024","2,340","2,300","2,340","2,270","52.16M","2.18%"
"09/23/2024","2,290","2,280","2,320","2,260","33.98M","1.33%"
"09/20/2024","2,260","2,300","2,300","2,220","231.98M","-0.44%"
"09/19/2024","2,270","2,310","2,310","2,260","29.46M","-0.44%"
"09/18/2024","2,280","2,300","2,320","2,270","23.11M","-0.87%"
"09/17/2024","2,300","2,310","2,330","2,290","32.59M","0.44%"
"09/13/2024","2,290","2,330","2,340","2,270","33.68M","-0.43%"
"09/12/2024","2,300","2,270","2,310","2,260","30.18M","1.77%"
"09/11/2024","2,260","2,280","2,280","2,220","27.75M","0.00%"
"09/10/2024","2,260","2,290","2,310","2,250","22.17M","0.00%"
"09/09/2024","2,260","2,270","2,290","2,250","20.57M","-0.88%"
"09/06/2024","2,280","2,300","2,320","2,280","19.22M","0.00%"
"09/05/2024","2,280","2,280","2,320","2,270","20.81M","0.00%"
"09/04/2024","2,280","2,330","2,340","2,260","41.17M","-3.39%"
"09/03/2024","2,360","2,380","2,400","2,340","16.32M","-0.42%"
"09/02/2024","2,370","2,360","2,420","2,340","23.01M","0.42%"
"08/30/2024","2,360","2,390","2,400","2,320","63.68M","-1.67%"
"08/29/2024","2,400","2,470","2,480","2,390","36.35M","-3.23%"
"08/28/2024","2,480","2,470","2,510","2,440","43.70M","1.22%"
"08/27/2024","2,450","2,480","2,490","2,410","32.45M","-0.81%"
"08/26/2024","2,470","2,380","2,480","2,360","70.37M","6.47%"
"08/23/2024","2,320","2,320","2,370","2,320","20.62M","1.31%"
"08/22/2024","2,290","2,350","2,360","2,270","27.20M","-2.55%"
"08/21/2024","2,350","2,340","2,390","2,330","26.26M","0.43%"
"08/20/2024","2,340","2,360","2,360","2,320","27.67M","0.00%"
"08/19/2024","2,340","2,320","2,340","2,310","18.57M","1.74%"
"08/16/2024","2,300","2,360","2,360","2,300","24.19M","-1.71%"
"08/15/2024","2,340","2,360","2,370","2,290","26.54M","-0.85%"
