"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","26,775","25,400","26,775","25,050","3.93M","5.41%"
"12/27/2024","25,400","25,200","25,400","25,100","1.66M","0.79%"
"12/24/2024","25,200","25,525","25,525","25,075","1.64M","-0.98%"
"12/23/2024","25,450","25,700","25,900","25,050","4.39M","-0.88%"
"12/20/2024","25,675","26,300","26,375","25,150","7.27M","-2.38%"
"12/19/2024","26,300","26,275","26,350","25,850","2.78M","0.10%"
"12/18/2024","26,275","26,375","26,775","26,225","2.37M","0.10%"
"12/17/2024","26,250","27,975","27,975","26,050","7.09M","-6.33%"
"12/16/2024","28,025","28,125","28,150","27,650","2.29M","-0.36%"
"12/13/2024","28,125","27,950","28,125","27,700","2.53M","0.63%"
"12/12/2024","27,950","27,775","28,400","27,750","2.41M","0.63%"
"12/11/2024","27,775","27,700","28,200","27,650","3.23M","-1.51%"
"12/10/2024","28,200","28,500","28,500","27,975","3.04M","-1.05%"
"12/09/2024","28,500","28,000","28,500","27,975","3.84M","1.97%"
"12/06/2024","27,950","27,650","27,975","27,525","2.62M","1.18%"
"12/05/2024","27,625","27,625","27,650","27,500","1.13M","0.00%"
"12/04/2024","27,625","27,300","27,625","27,275","2.38M","1.75%"
"12/03/2024","27,150","27,450","27,775","26,925","2.43M","-0.91%"
"12/02/2024","27,400","26,775","27,800","26,775","3.90M","2.33%"
"11/29/2024","26,775","27,375","27,500","26,775","3.60M","-2.19%"
"11/28/2024","27,375","27,500","27,900","27,350","2.83M","-0.45%"
"11/26/2024","27,500","27,600","27,900","27,350","3.37M","-0.36%"
"11/25/2024","27,600","27,200","27,900","27,025","10.56M","2.22%"
"11/22/2024","27,000","26,750","27,175","26,750","4.33M","1.22%"
"11/21/2024","26,675","26,500","26,875","26,500","4.19M","0.95%"
"11/20/2024","26,425","26,400","26,550","26,225","2.88M","0.28%"
"11/19/2024","26,350","25,850","26,450","25,850","3.59M","1.93%"
"11/18/2024","25,850","26,550","26,575","25,800","3.62M","-2.64%"
"11/15/2024","26,550","25,975","26,650","25,975","3.97M","2.21%"
"11/14/2024","25,975","26,400","26,400","25,750","4.12M","-1.61%"
"11/13/2024","26,400","26,750","26,750","26,125","2.40M","-1.22%"
"11/12/2024","26,725","26,275","26,750","26,050","4.23M","2.39%"
"11/11/2024","26,100","27,450","27,450","26,100","4.07M","-4.92%"
"11/08/2024","27,450","27,325","27,700","27,325","4.23M","0.83%"
"11/07/2024","27,225","27,200","27,475","26,925","4.19M","0.09%"
"11/06/2024","27,200","27,000","27,575","27,000","5.36M","0.74%"
"11/05/2024","27,000","27,150","27,250","26,850","2.68M","-1.28%"
"11/04/2024","27,350","27,250","27,350","26,850","2.41M","0.37%"
"11/01/2024","27,250","27,350","27,425","26,900","2.63M","-0.73%"
"10/31/2024","27,450","27,050","27,500","26,775","9.74M","3.88%"
"10/30/2024","26,425","26,300","26,500","25,875","4.38M","0.28%"
"10/29/2024","26,350","26,800","26,800","26,325","2.02M","-1.68%"
"10/28/2024","26,800","26,775","26,875","26,400","1.74M","0.00%"
"10/25/2024","26,800","26,875","26,925","26,725","1.79M","-0.28%"
"10/24/2024","26,875","27,025","27,050","26,875","1.52M","-0.56%"
"10/23/2024","27,025","27,050","27,075","26,850","2.26M","-0.18%"
"10/22/2024","27,075","26,800","27,125","26,625","4.10M","1.31%"
"10/21/2024","26,725","26,750","26,775","26,350","3.04M","0.00%"
"10/18/2024","26,725","26,825","26,825","26,525","2.14M","0.00%"
"10/17/2024","26,725","26,325","26,925","26,325","4.33M","1.52%"
"10/16/2024","26,325","25,900","26,500","25,575","5.88M","2.13%"
"10/15/2024","25,775","26,025","26,050","25,575","3.49M","-0.96%"
"10/14/2024","26,025","26,200","26,300","25,850","2.84M","-0.48%"
"10/11/2024","26,150","26,050","26,350","25,925","2.16M","0.97%"
"10/10/2024","25,900","26,600","26,600","25,900","4.31M","-2.63%"
"10/09/2024","26,600","26,425","26,650","26,150","3.14M","0.66%"
"10/08/2024","26,425","26,575","26,625","26,300","4.80M","-2.40%"
"10/07/2024","27,075","27,400","27,425","26,800","5.96M","-0.73%"
"10/04/2024","27,275","27,225","27,275","27,000","3.47M","0.18%"
"10/03/2024","27,225","27,425","27,425","27,025","2.47M","-0.09%"
"10/02/2024","27,250","27,450","27,650","27,075","3.32M","-0.73%"
"10/01/2024","27,450","27,325","27,450","27,000","3.33M","1.10%"
"09/30/2024","27,150","27,700","27,975","27,150","6.81M","-1.99%"
"09/27/2024","27,700","27,400","27,725","27,225","6.21M","1.47%"
"09/26/2024","27,300","27,450","27,450","26,900","3.56M","-0.55%"
"09/25/2024","27,450","27,400","27,450","26,700","4.93M","0.27%"
"09/24/2024","27,375","27,125","27,375","27,100","2.36M","0.92%"
"09/23/2024","27,125","26,950","27,175","26,925","3.04M","0.74%"
"09/20/2024","26,925","26,625","27,000","26,500","3.95M","1.13%"
"09/19/2024","26,625","26,725","26,900","26,625","2.36M","-0.37%"
"09/18/2024","26,725","26,675","26,925","26,600","2.42M","0.19%"
"09/17/2024","26,675","26,425","26,700","26,400","3.55M","1.23%"
"09/13/2024","26,350","26,350","26,625","26,225","2.56M","0.00%"
"09/12/2024","26,350","26,250","26,725","26,225","5.34M","0.48%"
"09/11/2024","26,225","26,600","26,675","26,050","5.51M","-1.78%"
"09/10/2024","26,700","27,300","27,325","26,525","4.89M","-2.02%"
"09/09/2024","27,250","27,050","27,300","26,500","6.92M","0.74%"
"09/06/2024","27,050","27,375","27,700","26,900","5.24M","-1.73%"
"09/05/2024","27,525","27,650","27,675","27,275","3.36M","-0.45%"
"09/04/2024","27,650","27,575","27,675","27,350","2.09M","-0.45%"
"09/03/2024","27,775","27,950","28,150","27,700","2.58M","-0.45%"
"09/02/2024","27,900","27,300","27,975","27,300","5.37M","3.14%"
"08/30/2024","27,050","27,325","27,375","26,850","8.57M","-1.01%"
"08/29/2024","27,325","27,700","27,700","27,200","3.98M","-1.35%"
"08/28/2024","27,700","27,300","27,850","27,175","9.22M","1.65%"
"08/27/2024","27,250","27,000","27,250","26,900","4.74M","1.11%"
"08/26/2024","26,950","26,900","27,050","26,750","2.81M","0.09%"
"08/23/2024","26,925","26,225","27,150","26,125","10.66M","2.67%"
"08/22/2024","26,225","25,150","26,375","25,100","10.02M","4.27%"
"08/21/2024","25,150","25,400","25,400","25,150","2.43M","-0.10%"
"08/20/2024","25,175","25,225","25,450","25,150","3.14M","0.30%"
"08/19/2024","25,100","24,975","25,100","24,925","1.37M","0.10%"
"08/16/2024","25,075","24,925","25,200","24,850","4.09M","1.11%"
"08/15/2024","24,800","25,050","25,150","24,750","3.56M","-1.00%"
"08/14/2024","25,050","25,025","25,175","24,900","3.22M","0.10%"
"08/13/2024","25,025","25,225","25,300","25,025","3.16M","-0.69%"
"08/12/2024","25,200","24,875","25,325","24,700","5.45M","2.02%"
"08/09/2024","24,700","24,625","24,900","24,625","2.53M","0.30%"
"08/08/2024","24,625","24,675","24,775","24,275","3.13M","-0.40%"
"08/07/2024","24,725","24,275","24,950","24,250","4.74M","2.38%"
"08/06/2024","24,150","24,600","24,750","24,100","7.13M","-1.13%"
"08/05/2024","24,425","25,275","25,275","24,175","8.79M","-4.78%"
"08/02/2024","25,650","25,550","25,975","25,250","4.67M","0.39%"
"08/01/2024","25,550","25,800","25,875","25,475","4.23M","-0.97%"
"07/31/2024","25,800","25,150","25,825","25,100","9.90M","3.20%"
"07/30/2024","25,000","24,800","25,175","24,650","4.42M","1.32%"
"07/29/2024","24,675","24,975","25,100","24,675","2.18M","-1.20%"
"07/26/2024","24,975","25,025","25,100","24,825","3.07M","0.30%"
"07/25/2024","24,900","24,825","25,175","24,650","3.16M","0.30%"
"07/24/2024","24,825","24,925","24,925","24,625","3.33M","-0.10%"
"07/23/2024","24,850","25,300","25,350","24,850","3.51M","-1.78%"
"07/22/2024","25,300","24,950","25,500","24,900","7.63M","2.64%"
"07/19/2024","24,650","24,350","24,850","24,275","6.12M","1.23%"
"07/18/2024","24,350","23,800","24,450","23,750","5.23M","2.31%"
"07/17/2024","23,800","23,950","23,950","23,700","3.73M","0.00%"
"07/16/2024","23,800","23,825","23,950","23,675","3.03M","0.21%"
"07/15/2024","23,750","23,500","23,750","23,500","2.29M","1.06%"
"07/12/2024","23,500","23,500","23,650","23,300","2.25M","0.00%"
"07/11/2024","23,500","23,700","23,875","23,450","2.20M","-0.21%"
"07/10/2024","23,550","23,700","23,900","23,425","3.28M","-0.53%"
"07/09/2024","23,675","24,000","24,000","23,650","2.59M","-1.35%"
"07/08/2024","24,000","23,850","24,000","23,625","3.71M","0.84%"
"07/05/2024","23,800","23,700","23,800","23,525","2.12M","0.42%"
"07/04/2024","23,700","23,550","23,800","23,475","4.67M","1.28%"
"07/03/2024","23,400","22,450","23,400","22,375","8.77M","4.93%"
"07/02/2024","22,300","22,100","22,500","22,000","4.90M","0.79%"
"07/01/2024","22,125","22,175","22,400","21,900","5.85M","0.68%"
"06/28/2024","21,975","21,750","22,075","21,750","3.99M","1.03%"
"06/27/2024","21,750","21,775","21,775","21,575","2.20M","0.00%"
"06/26/2024","21,750","21,750","21,800","21,600","2.22M","0.58%"
"06/25/2024","21,625","21,725","21,850","21,500","2.73M","-0.46%"
"06/24/2024","21,725","21,625","21,875","21,525","3.23M","0.46%"
"06/21/2024","21,625","22,000","22,000","21,625","8.21M","-1.93%"
"06/20/2024","22,050","21,450","22,050","21,425","2.53M","3.04%"
"06/19/2024","21,400","21,275","21,600","21,100","5.04M","0.82%"
"06/14/2024","21,225","22,025","22,050","21,150","5.70M","-3.63%"
"06/13/2024","22,025","22,000","22,175","21,900","3.59M","0.11%"
"06/12/2024","22,000","21,900","22,075","21,850","4.30M","0.69%"
"06/11/2024","21,850","22,325","22,325","21,850","8.10M","-2.13%"
"06/10/2024","22,325","22,700","22,700","22,300","2.50M","-2.08%"
"06/07/2024","22,800","22,600","22,975","22,575","4.01M","1.00%"
"06/06/2024","22,575","22,625","22,750","22,400","4.00M","0.00%"
"06/05/2024","22,575","22,975","23,150","22,475","2.92M","-1.74%"
"06/04/2024","22,975","22,975","23,350","22,950","4.71M","0.00%"
"06/03/2024","22,975","22,425","23,200","22,250","8.68M","4.08%"
"05/31/2024","22,075","22,350","22,650","22,075","14.69M","-0.90%"
"05/30/2024","22,275","22,500","22,500","22,125","3.15M","-1.11%"
"05/29/2024","22,525","22,500","22,525","22,275","2.74M","0.22%"
"05/28/2024","22,475","22,675","22,700","22,325","3.41M","-0.66%"
"05/27/2024","22,625","22,600","22,650","22,400","3.00M","0.11%"
"05/22/2024","22,600","22,400","22,625","22,200","3.63M","0.78%"
"05/21/2024","22,425","22,950","22,950","22,325","4.30M","-1.86%"
"05/20/2024","22,850","22,300","22,850","22,300","4.69M","2.47%"
"05/17/2024","22,300","22,150","22,350","22,150","1.88M","0.68%"
"05/16/2024","22,150","22,325","22,400","22,100","4.70M","-0.45%"
"05/15/2024","22,250","22,550","22,650","22,250","3.65M","-1.11%"
"05/14/2024","22,500","22,300","22,650","22,150","3.99M","1.35%"
"05/13/2024","22,200","22,100","22,300","22,050","5.55M","0.45%"
"05/08/2024","22,100","22,300","22,375","22,050","6.82M","-0.67%"
"05/07/2024","22,250","22,400","22,400","22,150","4.79M","-0.67%"
"05/06/2024","22,400","22,500","22,525","22,250","7.04M","-6.47%"
"05/03/2024","23,950","24,300","24,425","23,850","8.34M","-1.44%"
"05/02/2024","24,300","24,850","24,850","24,100","6.76M","-2.11%"
"04/30/2024","24,825","24,575","25,100","24,550","6.75M","-0.20%"
"04/29/2024","24,875","24,200","25,100","23,850","5.18M","3.00%"
"04/26/2024","24,150","24,300","24,450","24,150","4.94M","-0.41%"
"04/25/2024","24,250","24,850","25,000","24,100","4.99M","-2.41%"
"04/24/2024","24,850","25,050","25,450","24,450","8.93M","-0.40%"
"04/23/2024","24,950","25,300","25,400","24,800","5.91M","-1.38%"
"04/22/2024","25,300","25,525","25,675","25,225","3.98M","-0.20%"
"04/19/2024","25,350","25,675","25,725","25,200","3.06M","-0.69%"
"04/18/2024","25,525","25,575","25,825","25,200","4.68M","-0.20%"
"04/17/2024","25,575","26,300","26,300","25,575","4.00M","-2.57%"
"04/16/2024","26,250","25,225","26,400","25,000","11.56M","3.96%"
"04/05/2024","25,250","25,125","25,425","25,125","2.16M","0.80%"
"04/04/2024","25,050","25,250","25,275","25,000","2.75M","-0.79%"
"04/03/2024","25,250","24,900","25,375","24,700","4.93M","1.41%"
"04/02/2024","24,900","24,100","24,900","24,025","7.00M","3.64%"
"04/01/2024","24,025","24,350","24,350","23,850","3.48M","-0.62%"
"03/28/2024","24,175","24,625","24,650","24,175","4.52M","-1.73%"
"03/27/2024","24,600","24,450","24,700","24,450","3.20M","1.23%"
"03/26/2024","24,300","24,550","24,650","24,225","4.02M","-1.02%"
"03/25/2024","24,550","24,700","24,825","24,400","2.98M","-0.20%"
"03/22/2024","24,600","24,775","24,775","24,525","3.20M","-0.71%"
"03/21/2024","24,775","24,550","24,900","24,550","3.50M","0.92%"
"03/20/2024","24,550","24,375","24,550","24,375","1.93M","0.72%"
"03/19/2024","24,375","24,300","24,475","24,275","1.70M","0.41%"
"03/18/2024","24,275","24,225","24,575","24,225","2.13M","0.41%"
"03/15/2024","24,175","24,125","24,775","24,000","10.62M","0.21%"
"03/14/2024","24,125","23,575","24,125","23,550","3.88M","2.55%"
"03/13/2024","23,525","24,125","24,150","23,500","8.51M","-2.69%"
"03/08/2024","24,175","24,025","24,325","24,025","2.82M","0.73%"
"03/07/2024","24,000","24,325","24,400","24,000","5.37M","-1.34%"
"03/06/2024","24,325","24,200","24,400","24,025","3.28M","0.83%"
"03/05/2024","24,125","24,025","24,375","24,025","3.83M","0.52%"
"03/04/2024","24,000","23,775","24,175","23,775","3.59M","1.16%"
"03/01/2024","23,725","23,525","23,775","23,450","2.83M","0.85%"
"02/29/2024","23,525","23,875","23,950","23,500","6.91M","-1.36%"
"02/28/2024","23,850","24,000","24,350","23,800","6.51M","0.00%"
"02/27/2024","23,850","23,000","23,850","22,825","5.85M","3.70%"
"02/26/2024","23,000","22,900","23,100","22,875","2.51M","0.88%"
"02/23/2024","22,800","23,150","23,150","22,800","2.73M","-1.41%"
